Date/Time,Word Count,en,ja,ja-JP,ko,ko-KR,zh,zh-Hans
2023.05.16-11.58.42,4983,4983,0,0,0,0,0,0
2023.05.24-13.17.58,5240,5240,0,0,0,0,0,0
2023.05.25-16.30.00,5376,5376,0,0,0,0,0,0
2023.06.01-13.34.48,5329,5329,0,0,0,0,0,5131
2023.06.01-13.36.15,5329,5329,5131,0,0,0,0,5131
2023.06.01-13.38.22,5329,5329,5131,0,0,5131,0,5131
2023.06.01-13.44.33,5329,5329,0,5131,0,5131,0,5131
2023.06.05-17.05.58,5329,5329,0,5131,0,5131,0,5329
2023.06.05-17.08.04,5329,5329,0,5329,0,5131,0,5329
2023.06.05-17.09.32,5329,5329,0,5329,0,5329,0,5329
2023.06.05-17.14.25,5329,5329,5329,0,0,5329,0,5329
2023.06.05-17.16.37,5329,5329,5329,0,5329,0,0,5329
2023.08.21-10.48.17,5776,5776,3910,0,3910,0,0,3910
2023.08.24-17.03.37,5781,5781,3910,0,3910,0,0,3910
2023.08.25-14.13.41,5781,5781,3910,0,3910,0,0,5768
2023.08.25-14.14.32,5781,5781,5768,0,3910,0,0,5768
2023.08.25-14.15.14,5781,5781,5768,0,5768,0,0,5768
2023.08.29-09.42.27,5781,5781,5768,0,5768,0,0,5781
2023.08.29-09.43.24,5781,5781,5781,0,5768,0,0,5781
2023.08.29-09.45.06,5781,5781,5781,0,5781,0,0,5781
